"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"3518","GABON",1996,0,0,0,3.80800008773804,7.00124549865723,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3519","GABON",1997,0,0,0,3.90799999237061,7.02553844451904,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3520","GABON",1998,0,0,0,4.03399991989136,7.04983615875244,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3521","GABON",1999,0,0,0,4.02099990844727,7.07383728027344,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3522","CENTRAL AFRICAN REP.",1960,0,0,0,0.703999996185303,7.38087892532349,1.68639898300171,0,0,1,-7,0.686299443244934,0.782800018787384
"3523","CENTRAL AFRICAN REP.",1961,0,0,0,0.703999996185303,7.38087892532349,1.68639898300171,0,0,1,-7,0.686299443244934,0.782800018787384
"3524","CENTRAL AFRICAN REP.",1962,0,0,0,0.722000002861023,7.39633512496948,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3525","CENTRAL AFRICAN REP.",1963,0,0,0,0.690999984741211,7.41216039657593,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3526","CENTRAL AFRICAN REP.",1964,0,0,0,0.666000008583069,7.42773866653442,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3527","CENTRAL AFRICAN REP.",1965,0,0,0,0.683000028133392,7.44307851791382,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3528","CENTRAL AFRICAN REP.",1966,0,0,0,0.662999987602234,7.45876264572144,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3529","CENTRAL AFRICAN REP.",1967,0,0,0,0.656000018119812,7.47477197647095,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3530","CENTRAL AFRICAN REP.",1968,0,0,0,0.672999978065491,7.49052953720093,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3531","CENTRAL AFRICAN REP.",1969,0,0,0,0.698000013828278,7.506591796875,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3532","CENTRAL AFRICAN REP.",1970,0,0,0,0.72000002861023,7.52240037918091,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3533","CENTRAL AFRICAN REP.",1971,0,0,0,0.746999979019165,7.53849506378174,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3534","CENTRAL AFRICAN REP.",1972,0,0,0,0.731000006198883,7.55066108703613,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3535","CENTRAL AFRICAN REP.",1973,0,0,0,0.734000027179718,7.56423854827881,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3536","CENTRAL AFRICAN REP.",1974,0,0,0,0.731000006198883,7.57967901229858,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3537","CENTRAL AFRICAN REP.",1975,0,0,0,0.721000015735626,7.59739637374878,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3538","CENTRAL AFRICAN REP.",1976,0,0,0,0.71100002527237,7.61775970458984,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3539","CENTRAL AFRICAN REP.",1977,0,0,0,0.732999980449677,7.64060401916504,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3540","CENTRAL AFRICAN REP.",1978,0,0,0,0.763000011444092,7.66715812683105,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3541","CENTRAL AFRICAN REP.",1979,0,0,0,0.776000022888184,7.69484806060791,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3542","CENTRAL AFRICAN REP.",1980,0,0,0,0.737999975681305,7.72267770767212,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3543","CENTRAL AFRICAN REP.",1981,0,0,0,0.705999970436096,7.7493224143982,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3544","CENTRAL AFRICAN REP.",1982,0,0,0,0.648000001907349,7.77233171463013,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3545","CENTRAL AFRICAN REP.",1983,0,0,0,0.6700000166893,7.79688024520874,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3546","CENTRAL AFRICAN REP.",1984,0,0,0,0.586000025272369,7.82244491577148,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3547","CENTRAL AFRICAN REP.",1985,0,0,0,0.621999979019165,7.84893369674683,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3548","CENTRAL AFRICAN REP.",1986,0,0,0,0.629999995231628,7.87511920928955,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3549","CENTRAL AFRICAN REP.",1987,0,0,0,0.617999970912933,7.90174770355225,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3550","CENTRAL AFRICAN REP.",1988,0,0,0,0.584999978542328,7.92876625061035,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3551","CENTRAL AFRICAN REP.",1989,0,0,0,0.587999999523163,7.95612621307373,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3552","CENTRAL AFRICAN REP.",1990,0,0,0,0.584999978542328,7.98275756835938,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3553","CENTRAL AFRICAN REP.",1991,0,0,0,0.578999996185303,8.00903034210205,1.68639898300171,0,0,0,-7,0.686299443244934,0.782800018787384
"3554","CENTRAL AFRICAN REP.",1992,0,0,0,0.550000011920929,8.03463077545166,1.68639898300171,0,0,0,-6,0.686299443244934,0.782800018787384
"3555","CENTRAL AFRICAN REP.",1993,0,0,0,0.513999998569489,8.06148719787598,1.68639898300171,0,0,0,-6,0.686299443244934,0.782800018787384
"3556","CENTRAL AFRICAN REP.",1994,0,1,0,0.504000008106232,8.0556116104126,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3557","CENTRAL AFRICAN REP.",1995,0,1,0,0.51800000667572,8.07716464996338,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3558","CENTRAL AFRICAN REP.",1996,1,1,0,0.544000029563904,8.09803485870361,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3559","CENTRAL AFRICAN REP.",1997,0,0,1,0.512000024318695,8.11793613433838,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3560","CENTRAL AFRICAN REP.",1998,0,0,1,0.528999984264374,8.136869430542,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3561","CENTRAL AFRICAN REP.",1999,0,0,0,0.544000029563904,8.15483379364014,1.68639898300171,0,0,0,6,0.686299443244934,0.782800018787384
"3562","CHAD",1960,0,0,0,0.755999982357025,8.02747631072998,2.25129175186157,0,0,1,-9,0.82627284526825,0.625
"3563","CHAD",1961,0,0,0,0.755999982357025,8.02747631072998,2.25129175186157,0,0,1,-9,0.82627284526825,0.625
"3564","CHAD",1962,0,0,0,0.754000008106232,8.04494667053223,2.25129175186157,0,0,0,-9,0.82627284526825,0.625
"3565","CHAD",1963,0,0,0,0.805000007152557,8.06274795532227,2.25129175186157,0,0,0,-9,0.82627284526825,0.625
